District,Name of Commodity,Annual Production,Average Daily Arrivals,Maximum Daily Arrivals(In Market),Minimum Daily Arrivals(In Market),Unit Of Price Quotation,Standard Filling Of Pack Size,Crop Season(From-To),Peak Season(From-To),Weather Condition
Yellapura,Arecanut(Betelnut/Supari),9,1,3,2,Quintal,80,JAN DEC,OCT DEC,"Temp: 14°C - 36°C, Rainfall: 1500-2500 mm, High humidity"
Yellapura,Arecanut(Betelnut/Supari),980,10,25,15,Quintal,80,JAN DEC,OCT DEC,"Temp: 14°C - 36°C, Rainfall: 1500-2500 mm, High humidity"
Yellapura,BILEGOTTU,512,3,10,6,17369,60,JAN DEC,OCT DEC,"Temp: 25°C - 35°C, Rainfall: 1200-1500 mm, Moderate humidity"
Yellapura,CHALLI,2152,10,30,20,22669,80,JAN DEC,OCT DEC,"Temp: 18°C - 28°C, Rainfall: 1200-2000 mm, Moderate humidity"
Yellapura,COCONUT,200,125,200,150,1300,0,JAN DEC,DEC MAY,"Temp: 27°C - 32°C, Rainfall: 1000-3000 mm, High humidity"
Yellapura,COTTON (DCH),2375,0,0,0,6416,200,OCT FEB,NOV JAN,"Temp: 25°C - 35°C, Rainfall: 500-1200 mm, Moderate humidity"
Yellapura,KEMPUGOTTU,260,3,7,5,20969,60,JAN DEC,OCT DEC,"Temp: 25°C - 35°C, Rainfall: 1200-1500 mm, Moderate humidity"
Yellapura,KOKA,862,4,10,6,14899,60,JAN DEC,OCT DEC,"Temp: 20°C - 30°C, Rainfall: 2000-3000 mm, High humidity"
Yellapura,PEPPER,18,1,2,1,41300,50,JAN DEC,DEC MAY,"Temp: 20°C - 30°C, Rainfall: 2000-3000 mm, High humidity"
Yellapura,RASHI,2797,10,40,25,40109,80,JAN DEC,OCT DEC,"Temp: 25°C - 35°C, Rainfall: 1500-2500 mm, High humidity"
Yeleburga,Bazara,60,10,16,14,Per Quintal,80 KG,November-December,November-December,"Temp: 25°C - 35°C, Rainfall: 400-600 mm, Low humidity"
Yeleburga,Bengalgram,10,3,10,5,Per Quintal,100KG,March-April,March-April,"Temp: 20°C - 30°C, Rainfall: 600-1000 mm, Moderate humidity"
Yeleburga,Greengram,13,2,4,3,Per Quintal,100KG,September-October,September-October,"Temp: 25°C - 35°C, Rainfall: 600-800 mm, Moderate humidity"
Yeleburga,Groundnut,48,13,20,10,Per Quintal,30 KG,April-September,April-September,"Temp: 25°C - 35°C, Rainfall: 500-1000 mm, Moderate humidity"
Yeleburga,Jawhar,50,5,14,12,Per Quintal,100 KG,February-March,February-March,"Temp: 25°C - 35°C, Rainfall: 600-1000 mm, Moderate humidity"
Yeleburga,Kapas,26,20,26,15,Per Quintal,100 KG,June-July,June-July,"Temp: 25°C - 35°C, Rainfall: 500-1000 mm, Moderate humidity"
Yeleburga,Lint,4,1,1.5,1.5,Per Quintal,100 KG,June-July,June-July,"Temp: 25°C - 35°C, Rainfall: 500-1000 mm, Moderate humidity"
Yeleburga,Maize,1136,150,300,200,Per Quintal,100 KG,March-September,March-September,"Temp: 18°C - 27°C, Rainfall: 500-1000 mm, Moderate humidity"
Yeleburga,Sunflower,89,12,25,20,Per Quintal,50 KG,August-September,August-September,"Temp: 20°C - 30°C, Rainfall: 600-1000 mm, Moderate humidity"
Yeleburga,Wheat,2,1,2,1,Per Quintal,100KG,January-February,January-February,"Temp: 12°C - 25°C, Rainfall: 450-650 mm, Low humidity"
